Date 	Value
5/21/2017 02:31:01	0.073
5/21/2017 06:31:01	0.073
5/21/2017 10:31:01	0.073
5/21/2017 14:31:01	0.073
5/21/2017 18:31:01	0.073
5/21/2017 22:31:01	0.073
5/22/2017 02:31:01	0.073
5/22/2017 06:31:01	0.073
5/22/2017 10:31:01	0.073
5/22/2017 14:31:01	0.073
5/22/2017 18:31:01	0.073
5/22/2017 22:31:01	0.073
5/23/2017 02:31:01	0.073
5/23/2017 06:31:01	0.073
5/23/2017 10:31:01	0.073
5/23/2017 14:31:01	0.073
5/23/2017 18:31:01	0.073
5/23/2017 22:31:01	0.073
5/24/2017 02:31:01	0.073
5/24/2017 06:31:01	0.073
5/24/2017 10:31:01	0.073
5/24/2017 14:31:01	0.073
5/24/2017 18:31:01	0.073
5/24/2017 22:31:01	0.073
5/25/2017 02:31:01	0.073
5/25/2017 06:31:01	0.073
5/25/2017 10:31:01	0.073
5/25/2017 14:31:01	0.073
5/25/2017 18:31:01	0.073
5/25/2017 22:31:01	0.073
5/26/2017 02:31:01	0.073
5/26/2017 06:31:01	0.073
5/26/2017 10:31:01	0.073
5/26/2017 14:31:01	0.073
5/26/2017 18:31:01	0.073
5/26/2017 22:31:01	0.073
5/27/2017 02:31:01	0.073
5/27/2017 06:31:01	0.073
5/27/2017 10:31:01	0.073
5/27/2017 14:31:01	0.073
5/27/2017 18:31:01	0.073
5/27/2017 22:31:01	0.073
5/28/2017 02:31:01	0.073
5/28/2017 06:31:01	0.073
5/28/2017 10:31:01	0.073
5/28/2017 14:31:01	0.073
5/28/2017 18:31:01	0.073
5/28/2017 22:31:01	0.073
5/29/2017 02:31:01	0.073
5/29/2017 06:31:01	0.073
5/29/2017 10:31:01	0.073
5/29/2017 14:31:01	0.073
5/29/2017 18:31:01	0.073
5/29/2017 22:31:01	0.073
5/30/2017 02:31:01	0.073
5/30/2017 06:31:01	0.073
5/30/2017 10:31:01	0.073
5/30/2017 14:31:01	0.073
5/30/2017 18:31:01	0.073
5/30/2017 22:31:01	0.073
5/31/2017 02:31:01	0.073
5/31/2017 06:31:01	0.073
5/31/2017 10:31:01	0.073
5/31/2017 14:31:01	0.073
5/31/2017 18:31:01	0.073
5/31/2017 22:31:01	0.073
6/1/2017 02:31:01	0.073
6/1/2017 06:31:01	0.073
6/1/2017 10:31:01	0.073
6/1/2017 14:31:01	0.073
6/1/2017 18:31:01	0.073
6/1/2017 22:31:01	0.073
6/2/2017 02:31:01	0.073
6/2/2017 06:31:01	0.073
6/2/2017 10:31:01	0.073
6/2/2017 14:31:01	0.073
6/2/2017 18:31:01	0.073
6/2/2017 22:31:01	0.073
6/3/2017 02:31:01	0.073
6/3/2017 06:31:01	0.073
6/3/2017 10:31:01	0.073
6/3/2017 14:31:01	0.073
6/3/2017 18:31:01	0.073
6/3/2017 22:31:01	0.136
6/4/2017 02:31:01	0.199
6/4/2017 06:31:01	0.199
6/4/2017 10:31:01	0.199
6/4/2017 14:31:01	0.199
6/4/2017 18:31:01	0.199
6/4/2017 22:31:01	0.261
6/5/2017 02:31:01	0.387
6/5/2017 06:31:01	0.45
6/5/2017 10:31:01	0.45
6/5/2017 14:31:01	0.387
6/5/2017 18:31:01	0.45
6/5/2017 22:31:01	0.513
6/6/2017 02:31:01	0.576
6/6/2017 06:31:01	0.639
6/6/2017 10:31:01	0.702
6/6/2017 14:31:01	0.702
6/6/2017 18:31:01	0.702
6/6/2017 22:31:01	0.765
6/7/2017 02:31:01	0.891
6/7/2017 06:31:01	0.954
6/7/2017 10:31:01	1.017
6/7/2017 14:31:01	1.017
6/7/2017 18:31:01	1.017
6/7/2017 22:31:01	1.142
6/8/2017 02:31:01	1.268
6/8/2017 06:31:01	1.394
6/8/2017 10:31:01	1.457
6/8/2017 14:31:01	1.457
6/8/2017 18:31:01	1.457
6/8/2017 22:31:01	1.52
6/9/2017 02:31:01	1.709
6/9/2017 06:31:01	1.834
6/9/2017 10:31:01	1.834
6/9/2017 14:31:01	1.834
6/9/2017 18:31:01	1.834
6/9/2017 22:31:01	1.834
6/10/2017 02:31:01	1.834
6/10/2017 06:31:01	1.834
6/10/2017 10:31:01	1.897
6/10/2017 14:31:01	1.834
6/10/2017 18:31:01	1.771
6/10/2017 22:31:01	1.771
6/11/2017 02:31:01	1.771
6/11/2017 06:31:01	1.834
6/11/2017 10:31:01	1.834
6/11/2017 14:31:01	1.834
6/11/2017 18:31:01	1.834
6/11/2017 22:31:01	1.96
6/12/2017 02:31:01	2.086
6/12/2017 06:31:01	2.275
6/12/2017 10:31:01	2.338
6/12/2017 14:31:01	2.338
6/12/2017 18:31:01	2.338
6/12/2017 22:31:01	2.338
